statsId,network,handle
346049,twitter,petercrouch
347384,twitter,yayatoure
274190,twitter,timhowardgk
330263,twitter,petrcech
377080,twitter,diegocosta
346249,twitter,theowalcott
567304,twitter,rbarkley20
346274,twitter,youngy18
436213,twitter,chrisbenteke
396366,twitter,camjerome33
346160,twitter,m8arteta
346065,twitter,waynerooney
614887,twitter,vardy7
