Name,Team,StatsID,Network,Handle,Alias,RSS
Anfieldindex,,,,,,http://anfieldindex.com/feed
lfconline.com,,,,,,http://www.lfconline.com/rssfeeds/rssfull.asp
Live4liverpool,,,,,,http://live4liverpool.com/feed/
Liverpoolway.co.uk,,,,,,http://www.liverpoolway.co.uk/index.php?/rss/ccs/1c1-articles/
The Anfiled wrap,,,,,,http://www.theanfieldwrap.com/feed/
Liverpool-kop.com,,,,,,http://feeds.feedburner.com/liverpool-kop.com
famouscfc,,,,,,http://www.famouscfc.com/feed/
talkchelsea.net,,,,,,http://talkchelsea.net/feed/
cfcnet.co.uk,,,,,,http://www.cfcnet.co.uk/feed/
Theshedender.com,,,,,,http://theshedender.com/feed/
astamfordbridgetoofar.com,,,,,,http://astamfordbridgetoofar.com/feed/
